iter	Passed	Remaining
0	1	129
1	2	111
2	3	100
3	3	90
4	4	89
5	5	86
6	6	86
7	7	84
8	8	83
9	9	82
10	9	80
11	10	79
12	12	80
13	12	79
14	13	78
15	14	77
16	15	76
17	16	76
18	17	74
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	70
25	24	69
26	25	68
27	26	67
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	49
48	46	48
49	47	47
50	48	46
51	50	46
52	51	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	101	15
87	102	13
88	102	12
89	103	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
