iter	Passed	Remaining
0	150	150833
1	153	76607
2	155	51812
3	157	39176
4	158	31574
5	159	26465
6	161	22918
7	163	20228
8	165	18213
9	167	16562
10	169	15222
11	172	14178
12	173	13190
13	174	12319
14	175	11555
15	176	10884
16	178	10336
17	180	9828
18	181	9353
19	182	8926
20	183	8548
21	184	8207
22	185	7887
23	187	7608
24	188	7334
25	189	7081
26	190	6859
27	191	6641
28	192	6436
29	193	6254
30	194	6081
31	195	5914
32	196	5755
33	197	5603
34	198	5464
35	199	5333
36	200	5215
37	201	5107
38	202	4995
39	203	4889
40	204	4787
41	205	4690
42	206	4597
43	207	4507
44	208	4421
45	209	4348
46	210	4270
47	211	4194
48	212	4121
49	213	4052
50	214	3990
51	215	3925
52	216	3863
53	217	3805
54	218	3754
55	219	3703
56	220	3654
57	221	3603
58	222	3555
59	223	3508
60	224	3460
61	225	3414
62	226	3371
63	228	3336
64	229	3294
65	229	3253
66	230	3214
67	231	3179
68	232	3143
69	233	3107
70	234	3074
71	236	3043
72	237	3012
73	238	2979
74	239	2948
75	240	2918
76	241	2888
77	241	2859
78	242	2830
79	243	2803
80	244	2775
81	245	2748
82	246	2717
83	246	2691
84	247	2666
85	248	2641
86	249	2617
87	250	2593
88	251	2570
89	252	2548
90	252	2526
91	254	2507
92	255	2487
93	256	2468
94	257	2448
95	257	2429
96	258	2409
97	259	2389
98	260	2369
99	261	2350
100	262	2332
101	263	2317
102	264	2299
103	264	2282
104	265	2264
105	266	2247
106	267	2232
107	268	2216
108	269	2201
109	270	2187
110	271	2172
111	272	2156
112	272	2141
113	273	2126
114	274	2112
115	275	2097
116	276	2083
117	276	2069
118	277	2056
119	278	2042
120	279	2031
121	280	2018
122	281	2005
123	282	1994
124	283	1982
125	284	1970
126	284	1957
127	285	1945
128	286	1933
129	287	1922
130	287	1910
131	288	1898
132	289	1887
133	290	1876
134	291	1865
135	291	1854
136	292	1844
137	293	1834
138	294	1823
139	295	1814
140	296	1803
141	296	1792
142	297	1783
143	298	1773
144	299	1764
145	299	1754
146	300	1745
147	301	1735
148	302	1726
149	303	1717
150	303	1708
151	304	1700
152	305	1691
153	306	1682
154	307	1675
155	308	1666
156	308	1658
157	309	1650
158	310	1642
159	311	1635
160	312	1626
161	313	1619
162	313	1611
163	314	1603
164	315	1596
165	316	1589
166	317	1582
167	317	1574
168	318	1567
169	319	1560
170	320	1554
171	321	1547
172	322	1540
173	323	1533
174	323	1527
175	324	1520
176	325	1513
177	326	1506
178	327	1500
179	327	1493
180	328	1486
181	329	1480
182	330	1474
183	331	1468
184	331	1462
185	332	1456
186	333	1450
187	334	1444
188	335	1439
189	336	1432
190	336	1427
191	337	1421
192	338	1415
193	339	1410
194	340	1404
195	341	1399
196	341	1393
197	342	1388
198	343	1383
199	344	1378
200	345	1372
201	346	1367
202	347	1364
203	348	1359
204	349	1354
205	349	1348
206	350	1344
207	351	1338
208	352	1333
209	353	1328
210	353	1323
211	354	1318
212	355	1313
213	356	1309
214	357	1304
215	358	1299
216	358	1295
217	359	1290
218	361	1288
219	362	1284
220	363	1281
221	364	1277
222	365	1272
223	366	1268
224	366	1263
225	367	1259
226	368	1255
227	369	1251
228	370	1247
229	371	1243
230	372	1239
231	373	1235
232	374	1231
233	375	1227
234	375	1223
235	376	1219
236	377	1215
237	378	1211
238	379	1207
239	379	1202
240	380	1198
241	381	1194
242	382	1190
243	383	1187
244	383	1183
245	384	1179
246	385	1175
247	386	1171
248	387	1167
249	387	1163
250	388	1160
251	389	1156
252	390	1152
253	391	1149
254	392	1145
255	392	1142
256	393	1138
257	394	1134
258	395	1131
259	396	1127
260	397	1124
261	397	1120
262	398	1117
263	399	1113
264	400	1110
265	401	1106
266	401	1103
267	402	1099
268	403	1096
269	404	1093
270	405	1089
271	405	1086
272	406	1083
273	407	1079
274	408	1077
275	409	1073
276	410	1071
277	411	1068
278	412	1065
279	413	1063
280	414	1060
281	415	1057
282	416	1054
283	416	1051
284	417	1048
285	418	1045
286	419	1042
287	420	1039
288	421	1036
289	422	1033
290	423	1030
291	423	1028
292	424	1025
293	425	1022
294	426	1019
295	427	1016
296	428	1013
297	429	1011
298	430	1008
299	431	1005
300	431	1003
301	432	1000
302	433	997
303	434	995
304	435	992
305	436	989
306	437	987
307	438	984
308	439	982
309	440	979
310	440	976
311	441	974
312	442	971
313	443	969
314	444	966
315	445	964
316	446	961
317	446	958
318	447	955
319	448	953
320	449	951
321	450	948
322	451	946
323	452	943
324	453	941
325	454	938
326	455	936
327	455	934
328	456	931
329	457	929
330	458	927
331	459	925
332	460	922
333	461	920
334	462	918
335	463	915
336	464	913
337	465	910
338	465	908
339	466	906
340	467	903
341	468	901
342	469	899
343	470	897
344	471	895
345	472	892
346	473	890
347	474	888
348	475	886
349	475	883
350	476	881
351	477	878
352	478	876
353	479	874
354	479	871
355	480	869
356	481	867
357	482	865
358	483	863
359	484	860
360	485	858
361	486	856
362	486	854
363	487	852
364	488	850
365	489	847
366	490	845
367	491	843
368	492	841
369	492	839
370	493	836
371	494	834
372	495	832
373	496	830
374	496	828
375	497	826
376	498	823
377	499	821
378	500	819
379	500	817
380	501	815
381	502	813
382	503	811
383	504	809
384	505	807
385	505	804
386	506	802
387	507	800
388	508	798
389	509	796
390	509	794
391	510	792
392	511	789
393	512	787
394	513	786
395	514	784
396	515	782
397	515	780
398	516	778
399	517	776
400	518	774
401	519	772
402	520	770
403	521	768
404	521	766
405	522	764
406	523	762
407	524	760
408	525	758
409	526	757
410	526	755
411	527	753
412	528	751
413	529	749
414	530	747
415	531	745
416	531	743
417	532	741
418	533	739
419	534	737
420	534	735
421	535	733
422	536	731
423	537	729
424	538	728
425	538	726
426	540	724
427	540	722
428	541	720
429	542	719
430	543	717
431	544	715
432	545	714
433	546	712
434	547	710
435	548	709
436	549	707
437	550	705
438	550	704
439	551	702
440	552	700
441	553	699
442	554	697
443	555	695
444	556	694
445	557	692
446	558	690
447	559	688
448	559	687
449	560	685
450	561	683
451	562	681
452	563	680
453	564	678
454	565	676
455	566	675
456	567	673
457	568	672
458	569	670
459	570	669
460	571	667
461	571	666
462	572	664
463	573	662
464	574	661
465	575	659
466	576	658
467	577	656
468	578	654
469	579	653
470	579	651
471	580	649
472	582	648
473	582	646
474	583	645
475	584	643
476	585	641
477	586	640
478	587	638
479	588	637
480	589	635
481	590	634
482	590	632
483	591	631
484	592	629
485	593	628
486	594	626
487	595	625
488	597	624
489	598	623
490	599	621
491	600	620
492	601	618
493	602	617
494	603	615
495	606	616
496	607	615
497	608	613
498	610	612
499	610	610
500	611	609
501	612	607
502	613	606
503	614	605
504	615	603
505	616	602
506	617	600
507	618	599
508	620	598
509	620	596
510	621	595
511	622	593
512	623	592
513	624	590
514	625	589
515	627	588
516	628	586
517	628	585
518	629	583
519	630	582
520	631	580
521	632	579
522	633	577
523	634	576
524	635	574
525	636	573
526	637	571
527	638	570
528	639	568
529	639	567
530	640	565
531	641	564
532	642	562
533	643	561
534	644	559
535	645	558
536	646	557
537	648	556
538	649	555
539	650	553
540	651	552
541	652	551
542	652	549
543	654	548
544	654	546
545	655	545
546	656	543
547	658	543
548	659	542
549	660	540
550	662	539
551	663	538
552	664	537
553	665	535
554	666	534
555	667	532
556	668	531
557	669	529
558	669	528
559	670	526
560	671	525
561	672	524
562	673	522
563	674	521
564	675	519
565	676	518
566	677	517
567	678	515
568	679	514
569	679	512
570	680	511
571	681	510
572	682	508
573	683	507
574	684	505
575	684	504
576	685	502
577	686	501
578	687	499
579	688	498
580	689	497
581	690	495
582	690	494
583	691	492
584	692	491
585	693	489
586	694	488
587	695	487
588	695	485
589	696	484
590	697	482
591	698	481
592	699	480
593	700	478
594	701	477
595	702	476
596	703	474
597	704	473
598	704	471
599	705	470
600	706	469
601	707	467
602	708	466
603	709	464
604	710	463
605	710	462
606	711	460
607	712	459
608	713	457
609	714	456
610	715	455
611	716	454
612	716	452
613	717	451
614	718	449
615	719	448
616	720	447
617	721	445
618	721	444
619	722	442
620	723	441
621	724	440
622	725	438
623	726	437
624	726	436
625	727	434
626	728	433
627	730	432
628	730	431
629	731	429
630	732	428
631	733	427
632	734	425
633	735	424
634	736	423
635	736	421
636	737	420
637	738	419
638	739	417
639	740	416
640	741	415
641	742	413
642	743	412
643	744	411
644	744	410
645	745	408
646	746	407
647	747	406
648	748	404
649	749	403
650	750	402
651	750	400
652	751	399
653	752	398
654	753	396
655	754	395
656	755	394
657	756	393
658	757	391
659	758	390
660	759	389
661	759	387
662	760	386
663	761	385
